epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,49.1206,1.01489,0.55437,0.90167,0.97962,1,0.995,0.53242,1.51515,0.74621,1.31817,0.0014159,0.0014159,0.0014159
61,49.9392,0.84436,0.52645,0.9019,0.97962,1,0.995,0.53242,1.51515,0.74621,1.31817,0.001406,0.001406,0.001406
62,50.7985,0.91446,0.56645,0.87278,0.97913,1,0.995,0.63152,1.34534,0.69713,1.24451,0.0013961,0.0013961,0.0013961
63,51.6643,0.85546,0.51475,0.83746,0.97913,1,0.995,0.63152,1.34534,0.69713,1.24451,0.0013862,0.0013862,0.0013862
64,52.5925,1.01605,0.6093,0.8974,0.98141,1,0.995,0.64845,1.43552,0.67058,1.23799,0.0013763,0.0013763,0.0013763
65,53.4902,0.9699,0.53285,0.87312,0.98141,1,0.995,0.64845,1.43552,0.67058,1.23799,0.0013664,0.0013664,0.0013664
66,54.4158,0.97559,0.56271,0.87437,0.98267,1,0.995,0.73156,1.40429,0.644,1.26041,0.0013565,0.0013565,0.0013565
67,55.3035,0.87415,0.56017,0.86834,0.98267,1,0.995,0.73156,1.40429,0.644,1.26041,0.0013466,0.0013466,0.0013466
68,56.196,0.89002,0.52636,0.85785,0.98188,1,0.995,0.55022,1.64532,0.59625,1.35561,0.0013367,0.0013367,0.0013367
69,57.0481,0.86383,0.51013,0.87319,0.98188,1,0.995,0.55022,1.64532,0.59625,1.35561,0.0013268,0.0013268,0.0013268
70,57.9256,0.93224,0.55484,0.94449,0.98344,1,0.995,0.54427,1.60772,0.59611,1.32372,0.0013169,0.0013169,0.0013169
71,58.7654,0.91749,0.52285,0.88465,0.98344,1,0.995,0.54427,1.60772,0.59611,1.32372,0.001307,0.001307,0.001307
72,59.6645,0.85879,0.51468,0.85842,0.98409,1,0.995,0.56575,1.44844,0.58118,1.24417,0.0012971,0.0012971,0.0012971
73,60.5027,0.9578,0.56554,0.89187,0.98409,1,0.995,0.56575,1.44844,0.58118,1.24417,0.0012872,0.0012872,0.0012872
74,61.3778,0.88785,0.51043,0.85788,0.98117,1,0.995,0.62046,1.39241,0.68999,1.15534,0.0012773,0.0012773,0.0012773
75,62.2044,0.89538,0.52379,0.90312,0.98117,1,0.995,0.62046,1.39241,0.68999,1.15534,0.0012674,0.0012674,0.0012674
76,63.0677,0.92941,0.54245,0.88382,0.97991,1,0.995,0.53322,1.77513,0.66322,1.1321,0.0012575,0.0012575,0.0012575
77,63.9357,0.99472,0.5114,0.8656,0.97991,1,0.995,0.53322,1.77513,0.66322,1.1321,0.0012476,0.0012476,0.0012476
78,64.8152,0.93584,0.50904,0.8949,0.98312,1,0.995,0.50998,1.84489,0.63209,1.15055,0.0012377,0.0012377,0.0012377
79,65.6298,0.90802,0.51266,0.89242,0.98312,1,0.995,0.50998,1.84489,0.63209,1.15055,0.0012278,0.0012278,0.0012278
80,66.4666,0.92035,0.52536,0.86817,0.98553,1,0.995,0.50269,1.75566,0.6924,1.27022,0.0012179,0.0012179,0.0012179
81,67.2974,0.85131,0.47929,0.88145,0.98553,1,0.995,0.50269,1.75566,0.6924,1.27022,0.001208,0.001208,0.001208
82,68.1251,0.78996,0.49322,0.84369,0.9857,1,0.995,0.49988,1.85402,0.78494,1.37377,0.0011981,0.0011981,0.0011981
83,68.9466,0.85545,0.49217,0.87538,0.9857,1,0.995,0.49988,1.85402,0.78494,1.37377,0.0011882,0.0011882,0.0011882
84,69.8007,0.85606,0.50303,0.87207,0.98512,1,0.995,0.50936,1.80599,0.76969,1.32567,0.0011783,0.0011783,0.0011783
85,70.6163,0.78889,0.4664,0.85369,0.98512,1,0.995,0.50936,1.80599,0.76969,1.32567,0.0011684,0.0011684,0.0011684
86,71.4691,0.87022,0.48044,0.86655,0.98312,1,0.995,0.49543,1.76336,0.71607,1.21946,0.0011585,0.0011585,0.0011585
87,72.2798,0.83289,0.47797,0.85871,0.98312,1,0.995,0.49543,1.76336,0.71607,1.21946,0.0011486,0.0011486,0.0011486
88,73.1142,0.77943,0.46122,0.86696,0.98397,1,0.995,0.54182,1.7527,0.71733,1.17198,0.0011387,0.0011387,0.0011387
89,73.9309,0.87893,0.50093,0.89957,0.98397,1,0.995,0.54182,1.7527,0.71733,1.17198,0.0011288,0.0011288,0.0011288
90,74.767,0.83914,0.47449,0.86058,0.98455,1,0.995,0.54467,1.70162,0.74758,1.12524,0.0011189,0.0011189,0.0011189
91,75.5903,0.81538,0.46842,0.83658,0.98455,1,0.995,0.54467,1.70162,0.74758,1.12524,0.001109,0.001109,0.001109
92,76.4266,0.71433,0.42085,0.81073,0.98457,1,0.995,0.54562,1.65436,0.66666,1.17834,0.0010991,0.0010991,0.0010991
93,77.2366,0.79144,0.47073,0.81587,0.98457,1,0.995,0.54562,1.65436,0.66666,1.17834,0.0010892,0.0010892,0.0010892
94,78.0687,0.85536,0.44909,0.85423,0.98364,1,0.995,0.56116,1.76993,0.61498,1.29419,0.0010793,0.0010793,0.0010793
95,78.8828,0.77514,0.48421,0.85571,0.98364,1,0.995,0.56116,1.76993,0.61498,1.29419,0.0010694,0.0010694,0.0010694
96,79.7537,0.86495,0.50006,0.87138,0.9844,1,0.995,0.58009,1.78923,0.67807,1.35466,0.0010595,0.0010595,0.0010595
97,80.5746,0.73174,0.4281,0.85779,0.9844,1,0.995,0.58009,1.78923,0.67807,1.35466,0.0010496,0.0010496,0.0010496
98,81.4132,0.75348,0.44897,0.81425,0.98507,1,0.995,0.5623,1.87962,0.73442,1.35864,0.0010397,0.0010397,0.0010397
99,82.2277,0.82684,0.45687,0.85719,0.98507,1,0.995,0.5623,1.87962,0.73442,1.35864,0.0010298,0.0010298,0.0010298
100,83.0679,0.7752,0.46063,0.85124,0.98477,1,0.995,0.49021,1.95829,0.723,1.36047,0.0010199,0.0010199,0.0010199
101,83.8779,0.73092,0.42747,0.85505,0.98477,1,0.995,0.49021,1.95829,0.723,1.36047,0.00101,0.00101,0.00101
102,84.7528,0.79285,0.45586,0.85752,0.98351,1,0.995,0.58379,1.82362,0.61686,1.33975,0.0010001,0.0010001,0.0010001
103,85.5656,0.81685,0.45441,0.86875,0.98351,1,0.995,0.58379,1.82362,0.61686,1.33975,0.0009902,0.0009902,0.0009902
104,86.3935,0.79195,0.4391,0.83544,0.98323,1,0.995,0.58332,1.773,0.6106,1.30365,0.0009803,0.0009803,0.0009803
105,87.2255,0.72185,0.42851,0.85625,0.98323,1,0.995,0.58332,1.773,0.6106,1.30365,0.0009704,0.0009704,0.0009704
106,88.0558,0.73782,0.46254,0.86732,0.98399,1,0.995,0.55122,1.86856,0.61896,1.25002,0.0009605,0.0009605,0.0009605
107,88.8739,0.77854,0.44194,0.87091,0.98399,1,0.995,0.55122,1.86856,0.61896,1.25002,0.0009506,0.0009506,0.0009506
108,89.7339,0.70882,0.43091,0.82196,0.98374,1,0.995,0.50033,1.87311,0.63571,1.26744,0.0009407,0.0009407,0.0009407
109,90.5578,0.73745,0.41787,0.83173,0.98374,1,0.995,0.50033,1.87311,0.63571,1.26744,0.0009308,0.0009308,0.0009308
110,91.3911,0.67968,0.39386,0.81368,0.98457,1,0.995,0.53574,1.784,0.66551,1.32364,0.0009209,0.0009209,0.0009209
111,92.1956,0.71102,0.44216,0.79739,0.98457,1,0.995,0.53574,1.784,0.66551,1.32364,0.000911,0.000911,0.000911
112,93.0205,0.78338,0.42273,0.84325,0.98491,1,0.995,0.57003,1.70015,0.6398,1.27971,0.0009011,0.0009011,0.0009011
113,93.8542,0.71125,0.41674,0.83086,0.98491,1,0.995,0.57003,1.70015,0.6398,1.27971,0.0008912,0.0008912,0.0008912
114,94.718,0.69251,0.43095,0.84089,0.98499,1,0.995,0.63767,1.70473,0.5912,1.23943,0.0008813,0.0008813,0.0008813
115,95.5394,0.68428,0.42002,0.81587,0.98499,1,0.995,0.63767,1.70473,0.5912,1.23943,0.0008714,0.0008714,0.0008714
116,96.3853,0.62404,0.41378,0.85329,0.98443,1,0.995,0.59207,1.74672,0.58803,1.21795,0.0008615,0.0008615,0.0008615
117,97.2224,0.68147,0.41572,0.83359,0.98443,1,0.995,0.59207,1.74672,0.58803,1.21795,0.0008516,0.0008516,0.0008516
118,98.0587,0.66444,0.42148,0.86726,0.9848,1,0.995,0.56974,1.83779,0.66195,1.22484,0.0008417,0.0008417,0.0008417
119,98.8759,0.68127,0.41716,0.79992,0.9848,1,0.995,0.56974,1.83779,0.66195,1.22484,0.0008318,0.0008318,0.0008318
120,99.7211,0.73041,0.42617,0.85322,0.985,1,0.995,0.57024,1.70215,0.62091,1.19453,0.0008219,0.0008219,0.0008219
121,100.544,0.6301,0.38076,0.85363,0.985,1,0.995,0.57024,1.70215,0.62091,1.19453,0.000812,0.000812,0.000812
122,101.391,0.69668,0.4123,0.80773,0.98529,1,0.995,0.65509,1.4365,0.49417,1.16277,0.0008021,0.0008021,0.0008021
123,102.208,0.66352,0.40762,0.82452,0.98529,1,0.995,0.65509,1.4365,0.49417,1.16277,0.0007922,0.0007922,0.0007922
124,103.054,0.68173,0.40784,0.8374,0.98554,1,0.995,0.68252,1.33623,0.50354,1.1684,0.0007823,0.0007823,0.0007823
125,103.88,0.66459,0.40026,0.83709,0.98554,1,0.995,0.68252,1.33623,0.50354,1.1684,0.0007724,0.0007724,0.0007724
126,104.722,0.67164,0.41794,0.85697,0.98532,1,0.995,0.65727,1.34681,0.52879,1.16862,0.0007625,0.0007625,0.0007625
127,105.531,0.64225,0.39641,0.83932,0.98532,1,0.995,0.65727,1.34681,0.52879,1.16862,0.0007526,0.0007526,0.0007526
128,106.368,0.63308,0.39569,0.83775,0.98544,1,0.995,0.60451,1.42349,0.57487,1.12876,0.0007427,0.0007427,0.0007427
129,107.201,0.67785,0.38213,0.83,0.98544,1,0.995,0.60451,1.42349,0.57487,1.12876,0.0007328,0.0007328,0.0007328
130,108.081,0.73081,0.40375,0.8141,0.98565,1,0.995,0.60403,1.48224,0.6092,1.11878,0.0007229,0.0007229,0.0007229
131,108.905,0.69943,0.41607,0.86078,0.98565,1,0.995,0.60403,1.48224,0.6092,1.11878,0.000713,0.000713,0.000713
132,109.741,0.69719,0.42888,0.85217,0.98557,1,0.995,0.62595,1.53298,0.51168,1.08021,0.0007031,0.0007031,0.0007031
133,110.574,0.6465,0.39456,0.83542,0.98557,1,0.995,0.62595,1.53298,0.51168,1.08021,0.0006932,0.0006932,0.0006932
134,111.407,0.64352,0.39891,0.83974,0.98513,1,0.995,0.69077,1.48664,0.4532,1.05283,0.0006833,0.0006833,0.0006833
135,112.225,0.56063,0.36824,0.8113,0.98513,1,0.995,0.69077,1.48664,0.4532,1.05283,0.0006734,0.0006734,0.0006734
136,113.064,0.71617,0.41831,0.84565,0.98478,1,0.995,0.59257,1.55347,0.49263,1.06696,0.0006635,0.0006635,0.0006635
